Comment_ID,Text,Sentiment
23,Ergaa qeroo oromoo hudaa tii kunaa❤,Positive
24,Uuuuffffee mucaa kanan waanan jedhun dhabee Waaqayyoo si haa eebbisuu Masqaloo atillee eebbifami,Positive
25,Dhagefadhee qufuu dadhabee maloo ❤❤❤❤❤❤gizee 3iraa debee dhagefadhee omg,Positive
26,❤❤❤Siif jecha hin qabu ❤❤❤ ati mana barumsaa seente otuu hin taane ❤❤❤barumsatu keesakee seene❤❤❤ jabaadhu  go on,Positive
27,"Bel academy naman baayyee jaaladhuudha.
Balina koo jabaadhu jabaa keenya.
Pls Bel academy haa jajjabeessinu nama baayyee cimaadha❤❤❤❤❤",Positive
28,"Dhugaa nama jabaadha, waaqayyo siinis isas haa eebbisu! Dhalootni keenya dafee dammaquu qaba❤",Positive
29,"Dhugaa dubbachuuf dhimmaa yeroo hundumaa gaffii natti ta'uudha waaqayyoo ebbaa, bekumsaa kana caluun sa ebbisa dear brother I love you so much you're my favorite motivational speaker",Positive
30,wanan si godhu dhabule kessii ko na boqotera❤,Positive
31,Waauu Leenca wayii baayyee si jaallanna.❤❤❤❤❤,Positive
32,Gaariidh  itt fufi bro koo,Positive
33,dhiira akanati jaalana nuti shamaran❤❤long live yene jagna,Positive
34,Yaa waqayoo ijaa hamtuu irraa nuf qabi ani jechaan ittin si ibsuu hin qabu❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
35,Raabbii umrii dheeraa isaaf haa kennu,Positive
36,Dhugadha o'goma qabaa jabadhuu waaqayyoon Ayyaani hisaa isfi ha bay'aatuu ❤️ ogesaa,Positive
37,kkkkkkkkkkkk hahahahahahaha bayyee na koffaalchiste dhugaa!!!!!!!guddaadhu bayyeen follow si godha akka kotti,Positive
38,Fayyaa argadhu!,Positive
39,"Oromon Mucaa kanas qeqaa jiraa Walalan waqume TikTok irraa 
Jabaa kenyaa",Positive
40,Kun erga guddaadha dhugaa dubbaachuf baayee baayee waan nama jijiruudha yoo yaada jijirama qabaattan❤❤,Positive
41,Baay'een jaaladha mucaa qaxalee kana❤,Positive
42,Wawww baayeen jaalladhe dhugaa,Positive
43,"Abbaan si dhalchee fi haatii si deessee sitti boonaa, siniis boonaa haa jiraatan, gadameessi si baatee haa eebbifamuu dhugaa rabbii. Namoota gatii hin qabnee immoo hin dhageeffatiin, adeemsi ke fuulaa duratti..... Up to your goal",Positive
44,Dhugaa dubbachuuf waan baay'een irraa baradhe nama jabaa dha gurbaan,Positive
45,Ammaf nama cima akkanatu nu barbaachisa!,Positive
46,"Eebbifami jechuun jaalladha.
Waaqayyoo hinaaffaa gaarii keessa kee jiru laaleetuma yaadaaf ilaalcha mancaa'aarraa nu haa fayyisun jedha.
Lafa deemtutti adda argadhu!! Eebbifamaa.",Positive
47,Mucaan kun beekumsa Wan meeqa qaba wow,Positive
48,Jaabadhu Bro,Positive
49,Waaqayyo Ammallee kanuma caalati Sammu kee sif haa banu,Positive
50,"Baay'ee na ajja'ibee waanan jehun dhabee namoota akkasitti dhugaa jiru dubbatan as baasuu keessaaniif isiin dinqissiffadheera,nama daandeetti adda qabuudha umurii dheeraan hawwaaaf!!!!!!",Positive
51,"Haasaan muciicha eebbiiffamadha,akkuuma sagaale waaqayyo natti toleen dhageefadhe xumuure,ere waaqayyoo karaa guddiinna wayii sif haa baanu,guddaadhu",Positive
52,Baayyee natti tole dhugaa guutuu isaan ilaale taahee....,Positive
53,"Dhiisi mee bannat an gubadheera. Nun bar namaa miti, jaldeessa. Udaanitti haasoftaayii.",Negative
54,"Jireenya koo keessati yeroon barumsa guddaa fi jireenyako borii  fayyadu argadheera.
Wanta baayyee akkan jijjiruuf murteessera!
Nuuf jiraadhaa.",Positive
55,Amazing bay'een itti bashananee galatoom,Positive
56,Realy dandeettii acting professor kanaa jaalladheera dhugaa,Positive
57,"Lubbuunkee nuuf haa dheeratu kun cimina qofa miti,Mul'ata argitee nutti hima jirta,nuuf jabaadha maree podcast",Positive
58,Jecha tokkollee siif hin qabu gameessa namaa. Kanaa olitti dabalee daddabalee rabbi siif haa kennu. Bara quufii nuuf jiraadhu hayyuu namaa❤❤❤,Positive
59,Galatoomi waanuma keessaa jiru dubbatee obboleessa koo jiraadhu,Positive
60,Yeroo namoonni Yaada Negative waa'ee mucaa kanaa maxxansan argee barbaadee argadhe yaanni mucaa nu injifachiisa jedheen amana ❤,Positive
61,Baga jette! Baga itti caccabsite! jabaadhu ati!,Positive
62,"wow, dubbii dhugaa!!!",Positive
63,"Mucaan kun dhugaadha ogummaa addaatu sammuu guute jira ❤
Nuuf jiraadhu yoo jijjiramneef amma kunoo",Positive
64,Jabaadhu karaa sirrii irra jirta!!!!!!,Positive
65,Episode ajaa'ibaati!  Dhugaa waan baay'ee nama yaachisa dubbiin isaa! Thank you!,Positive
66,Waaawooo nama dhiibbaa uumuu taateetta dhaloota baayyee sirreesiteetta,Positive
67,"Thank my 
Balen koo jabaaadhu 
Anis yaada kee gutummaa naa kessaa jiraa 
Bayy'een si jaaladhaa 
Hedduun sitti gammaade jabaadhu ok",Positive
68,Yaa waaqayyoo dargaggoo kanaaf fayyaaf uumurii dheeraa kennef,Positive
69,wow mucaa kana ati dhugaa nama guddaadha.,Positive
70,Dhugaa namni kun jabadha.,Positive
71,dhugaa mucaan kun yaada hayyootaa gurguddoo  maddisiisee dubbataa jira. dhugaa ani gorsa mucaa kanarraa argadheen jireenya kiyya jijjiiruudhaaf marxifadhee ka'ee jira rabbi nahaa gargaaru,Positive
72,Waaqayyoo si yaa eebbisu.,Positive
73,Ilmii dhugaa sif ha dhalatuu  umrii dheraadhuu ❤️‍,Positive
74,mataa dhiiraa nuuf jiraadhu❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
75,Dhugaa dubbachuuf ati nama cimaadha umuriinkee haa dheeratu,Positive
76,You're right.ashanguliti Europe namoota heddu  jalaa yeroo gubdi,Positive
77,Cimaan akkaa kee biyyaa Kan keessaa jirayyuuttii ❤❤❤❤❤,Positive
78,ati leenca jabaadhuu gara fuulduraatti deemi,Positive
79,Mucaa kanaa irraa waan ajaa'ibaan barree❤❤,Positive
80,Umurii dheraadhu❤❤❤,Positive
81,Tiktok irraa qeeqa isaa argeen dhufee maaloo dargaggeessi oromoo jabaan akkanaa inuma jiraa sammuu waaqayyo bane kan akka kee boruu dhalootaaf kan yaada.u nuuf haa dabalu bayyeen sitti boqodhee baayyeen gammade than you ❤❤❤❤,Positive
82,wow jabaa nama baayyee galaatomi dhugaa liki likki keenya hunduma keenyatti himte,Positive
83,Ati dhuguma nama namanana❤❤❤❤❤❤!,Positive
84,Dhugaa ❤❤,Positive
85,Ergan mucaa kana argeen you tube kana scibribe godhe.   Jabaadhaa,Positive
86,Mucaa QAXALEE kana ❤,Positive
87,Jabadhu jabbaa namaa,Positive
88,Kormee koo ❤,Positive
89,Waawwoo Nama Dinqii Waaqayyoo Issina Ebbiisuu❤❤❤,Positive
90,WOW lenca keenyaa nufi jiradhuu,Positive
91,Dhugaa rabii jabaa oromoo ❤❤❤❤❤❤❤❤,Positive
92,Sammuun bilchaatan wayyta yaada isa keessa jiru ibsu akkam mi'aawaa ❤,Positive
93,"Dhugaadha!
Ati Nama jabaadha.
Yaadni kee Barsiisaadha.",Positive
94,"Wow ati jabaadha. Yaadi kees bilchaatadha. Ilaalcha kee baayyee jaaladheera. Maal qaba namni hundi yaada kana osoo qabaate silaa baayyee addunyaan dorgomna ture.
Warri baranne jedhan dhugaa dubbachuuf dhaloota gara hin taanetti ofan. Dhimmi addunyaa dhimma namummaati malee dhimma sabummaa miti. Akka namaatti akka yaadnu rabbi nu haa gargaaru",Positive
95,Jabaa namaa❤,Positive
96,Jabadha nama,Positive
97,Jabaadhu,Positive
98,"Woww best man
Namaa guddaa Ebbifami umurii dheeraa nuf jiradhuu",Positive
99,Nujiraadhuu ilma orommo wooo Amazing idea,Positive
100,Qaxalee muca nuf jiraadhu,Positive
101,Baloo koo jabadhuu qaali koo bro,Positive
102,Waqayo nama akka kee nuuf haa bayisu jabbadhu  sin deegara enyunu hin dhagahin kara siri jirta❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
103,Bravo! sirriitti dubbatte,Positive
104,Akkan Podcast ilaaleetti osoo hin taane akka nama kitaaba tokko dubbisee fixeetti natti dhaga'ame dhugaa hedduu galatoomi,Positive
105,Itti cabdii,Positive
106,Jabaa nama Umurii dheraadhu ❤,Positive
107,Namaa jabaa❤❤❤❤❤❤❤❤,Positive
108,Waw baay'een sii diqisifadhe kan akka kee nuuf haa bayyatuu.ilmoo akkam kee naaf haa keennuu waaqayyoo ❤❤❤❤,Positive
109,Ebbifami mucaa qaaxale woyii,Positive
110,Baay'ee nama addaatti. Jabaadhuu. Umuriin isaafi wanti inni nuuf qooda jiru wal hin gitu. Dhugaa baay'ee nama gammachiisa.,Positive
111,Kan akka kee nuuf ha  haa dabalu abe❤,Positive
112,Part 2 nu barbaachisa adaraa,Positive
113,Waqayo ogumaa kana sifadabaluu amalee dhugaa Waqayo ebifamii,Positive
114,Kutaa 2ffaa isaa nuuf dhiyeessaa maaloo❤,Positive
115,Maal siin jedhe siin eebbiisure❤❤❤❤❤,Positive
116,Waaaaaw beekumsa kana caalatti sifaa dabalu kanakkanaa biyya keenyaaf kudhan gahaadha❤❤❤❤❤❤❤,Positive
117,"Thanks  
Garuu hin badin deebite nuuf dhiyaachu qabda",Positive
118,Maalumaa jedheen akka si’i ibsuu hin beeku jiraadhu mul’adhu argamii❤,Positive
119,Hedduun sii aja'ibseefadhee an jechonnniike jirneyaa namaa ijaraa bel thank you ❤,Positive
120,Baayyee ajaa'iibaa dargaggoota akkanaa qabachuu keenya eebba guddaadha.,Positive
121,Mare corner dhugaa galatoomi nama akkanaa sammuu dhaloota qaruu nuuf dheeheessuu keetiif,Positive
122,Wowowowowowowowo kanna namin dhugaa qaali muca kitabaa promo bekka jecha sifi him qabuu dhugaa waqaa❤❤,Positive
123,qaxaalee namaa Galatomii guudaa ❤❤,Positive
124,Beekka koo jabaadhu rabbii bakka yaade hundaa sihaa geessu ❤❤,Positive
125,Maal ishiin tun Qimamiin!!!!,Positive
126,"Waaqayyo si haa Eebbisu 
Waan baay'een sirraa bare",Positive
127,Gurbaan kun ilaalcha koo jijjiireera dhugaa. Wow,Positive
128,Qimamii koo❤,Positive
129,"yaada gaarii nama qaruudha  , eebbifami",Positive
130,Dhugaa dha ebbifami gooftaa koo siif galeera siif❤❤❤❤❤,Positive
131,Baay'isaa dhugumatti baay'een si dinqisiifadha waaqayyo si haa eebbisu jabaadhu jabaa keenya.,Positive
132,ati nama dhugatiii. oromoon akka kee rabbiin nuuf haa bayyisu,Positive
133,"Guddoo itti Gammaadde!
Ulfaadhaa❤",Positive
134,Galatoomi yaadni ati kaastee dubbatte hundi dhugaadha. Eebbifami,Positive
135,Mucaa cimaadha. Jabaadhaa isin lachuu!,Positive
136,Waaaw ebbifami jaba nama,Positive
137,Wow tnx my bro ayyaano siif haa baay'atu jabaadhu!!!!!,Positive
138,Galatomii lencako ❤️,Positive
139,"Wow! Galatoomi bro, ergaa guddaa saba keenyaaf dabarsite.",Positive
140,Wow dhugaa namaa jabadhaa ati.,Positive
141,Mucaa jabaa❤,Positive
142,Gurbaan jabaadha! Jabaadhu,Positive
143,Wow dhageefatame hin qufamu,Positive
144,Jabdhuu jabbaa nama,Positive
145,'Arenal waancaa nyaata ati shiroo nyaatta!'  Woow,Negative
146,Fkn dhaloota kan nama ta'uu danda'uu  Rabbi si haa Eebbisuu❤,Positive
147,Dhugaa jirtuu dubatee  unfi jiradha ❤❤❤❤,Positive
148,Jabaadhu qali keenya ❤❤❤❤,Positive
149,guyyaa tokko podcast kana nan dhufa garuu ati anumatu dubacha jira thanks bro,Positive
150,"Dargaggeessi jabaan akkasiis jiraayii??
Our hero",Positive
151,Nama akkasii nuuf haffeeruu keetiif baay'ee eebbifami namoota akkasii nuuf dabaliitii affeeri maaloo,Positive
152,Fayyaa ta'i❤,Positive
153,Barbadeen argadhee ta'ee dhagefachaa jiraa mucaan ibidaa,Positive
154,Nami kun nama guddaadha❤,Positive
155,Dhugaa keeti bro,Positive
156,Gobozii haadharaaw,Negative
157,Guddadhuu Rabbi si ha guddisu....Ati dargeessa bara kanatif fakkeenya guddaa taata❤❤❤❤,Positive
158,Uuuufff jaaba mucaa qaaxale kenyaa jaabadhu dhugaa ogummaa sammuu isaa akkaam akkaa addaa ta.e mucaa kan irraa waan baaya.e akkaa baaru shaakii qabu ani,Positive
159,An Akka Dhunfaa kooti Barnoota Heddun Irra Baradhe,Positive
160,Nama jabaa bara kana ❤,Positive
161,Wwwwwww baye namati tola jabadhu nama sammu bald adha jiradhu bro dhugani Jiru kanuma Liqimsi umta ❤❤❤,Positive
162,Jabaa namaa jabadhuu wani bayye  siraa baradhe itti nuu fufi❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
163,"Dhalootni iji irra jiru baay'een ammaaf waltajjiitti hinbaane malee,Gola jiru.
Haasaan Obboleessa kanaa immoo taa'ee yeroon of-ilaalu  of-wajjin akkan qabaadhuuf na jajjabeesseera.
Bor kan caalu sirraa eegna,jabaadhu!!!",Positive
164,wow wow!! naaf taate gurbaan kun!!,Positive
165,Wawuuu guddaa  galatoomaa... jireenya har’aa akka jalqabdu naa gootanii jirtuu,Positive
166,yaadasa baayee nan qooddadhaa jabaadhu,Positive
167,"akkaamtii jijiraaman kan jedhuu irraa osso nuu dhufte 
aboo umrii dheraadhuu❤",Positive
168,Wow bay'ee natii tolee jabaa nama qophii biraan nuu fidaayaa waqayyoo Kani akkana Kumaa nufi kenii,Positive
169,Dhimma kootii jedhee yeroo koo kenne ilaale barumsaa baayyeen argadhe galatomi.,Positive
170,Wow wan bay'ee irra barre,Positive
171,Jabaadhu Jabba keenyaa ❤,Positive
172,Mucaa Jabaadha!!!!!,Positive
173,Waaqayyoo nu haa gargaaruu  ulfaadha!!!,Positive
174,Jabduu nama dhugaa jettee ❤,Positive
175,dhugadhaa,Positive
176,jabdhuu ok,Positive
177,Dhugaadha,Positive
178,Woww jabaa nama ❤❤❤❤❤❤❤,Positive
179,Dhiiraa namitiin❤❤❤,Positive
180,Abdii borii biyya keenyatti mucaan Kun,Positive
181,Nama jabaadha dhugaa Kun thank you,Positive
182,Galatoomi❤!,Positive
183,Dhugaa dubbachuuf mucaan kun baayyee waan barbaachisaatu galeef rabbi si haa guddisu❤❤,Positive
184,Video kana guutuun dhaggeeffadhee xumure dogoggora tokkollee irraa hin argine hubachuu qabna sirriitti thanks Bro!,Positive
185,Jiradhuu dhugaa wan baayyee nu barssisee❤❤❤❤❤,Positive
186,Dhuga jedhe mucani jiradhu ❤❤❤❤,Positive
187,"Wow anaan natti tole namni kun, keep it up!!!!!",Positive
188,Dhiira hadhakee baga in hafiin baga dhalatte❤,Positive
189,"Galatoomi
Waan baay'ee barsiifte, eebbifami ❤",Positive
190,Mucaa qaxalee kan eebbifamii ❤❤❤❤,Positive
191,yaadaa brèdaa dubbatee jabadhuu ❤❤,Positive
192,Namni mucaan kun akkakoo isinitti tole like godhaa,Positive
193,Dhugumttii attii namaa bilchattadhaa yannee kee hundii sirdhaa jabbdhuu ittii fufii❤❤❤❤,Positive
194,Mee warra akka koo love gootan❤,Positive
195,Warii TikTok irraa argitanii dhufatanii✌️,Positive
196,Baay'ee galatoomaa!,Positive
197,Dhuga mucaan yaada bareeda  qaba .I  appreciate your Idea,Positive
198,Ufff qabbanaa'i na qabbaneessite,Positive
199,Baayyee Baayyee galatoomi dhugaa jabduu ilmaa,Positive
200,baqaa ure my favourite i love u bro ...covid nama bayee jijire yaada ke hunda jaladhare,Positive
201,Interview kanarra baayyeen of jijjira jiraa ani thank you,Positive
202,Baaye wanta biya keenya dugduba deebisa jirura nuuf dubate nuuf jiradhu ati nama jabadha jabadhu odu nama hin dhaga'ini,Positive
203,Maali mucaa abiddi kun ❤❤eeebbbifamii jabaa namaaaa,Positive
204,Nama jabadhaa waqqayyoo gooftani siin yaa gargaruu,Positive
205,"Ethiopia nama tokko qabdi, jabaadhu jabaa ilmaa",Positive
206,"Wooow Eebbiifaami dhugaa 
Atii namaa jabbaadha",Positive
207,"Dhugaadha, yaadni isaa hundinuu barnootaa waggaa 15 ol baranne caala!! Jabaadhu jabaa namaati ati",Positive
208,Yeroo sirrii fi haala sirrii ta'een haasa'e waan sirrii waan ta'eef irraa baranneerra,Positive
209,Barumsa akkanumalee gorsa nuuf qooddaniif galatoomaa ❤️ Jabaadhu,Positive
210,Jechaan ittin isaa ibsuu dhabee dhugaa nuf jiradhuu ❤❤,Positive
211,"Jabaadhu mucaa qaxale,❤❤❤",Positive
212,Wow namatti tola dubbiin kee,Positive
213,Dhugaa waqayyo akkam nama barsisa waaaw jabadhu,Positive
214,Yeroo jalqabaatiif podcast afaan Oromo gurbaa kanaan Eegale.namoota akkasii sana barbaadna ❗️,Positive
215,Wowww namatii tolaa❤❤❤❤❤,Positive
216,Baay'ee Yeroo Ajaa'ibsiisa ture Ebbifaama❤❤❤❤❤❤,Positive
217,Eree waaqayyo kanaa caalaatti sammuu kee haa qaaruu ❤❤❤❤,Positive
218,Mucaa kaan bakka shimalis abdisa nuuf busaa biyyi kenyaa nagaa argataa adara rabbi,Positive
219,Wow wlhi nama jaba obblesa ko heddu heddu Galatomi ❤respect,Positive
220,Waanbaye baredhe jirenyàkotif galatomi dhuga❤❤,Positive
221,Namaa osoo hin tanee atii warqidhaa dhugaa malidhaa kun ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ jabessaa maloo mucaa❤❤❤❤❤❤❤❤❤,Positive
222,Wow balina nama gudda Oromootti mucaan kauun dhugaa maree broadcast jabadha ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
223,Jabbaa nama umrii dheradhuu baldhinaa❤❤❤❤❤❤,Positive
224,Viidiyoo mucaa kanaa si'a lamaan irra deebi'ee ilaale baay'ee nama awwata dubbiiwwaniif jechuun inni fayyadamu dargaggoota fakkeenya guddaadha yoo sinii dandayame  irra deebi'aa nuuf haa dhiheessaa namoota akkanaa kana namaaf fakkeenya kan ta'an waan nu affeertaniif guddaa galatoomaa dubbii mucaa kana keessatti ani eenyudha jedhe namoonni baay'een keessatti of ilaalee dhugaa nama cimaadha❤,Positive
225,dhugaa jette qaxalee ilmaa,Positive
226,Ebifami ogesa nama bayee namati tolaa debiyee nufi yaa dhiatuu please ❤❤❤❤❤,Positive
227,❤ barsisa keenya,Positive
228,Baay'ee gaariidha ❤❤❤,Positive
229,"Wow!! Mucaan waan ajaa'ibaa dubbate dhugaa! Garuu, namoonni isa akkasii osoo hin tahin irra dibaa nama hoo'isuu waan duuka fiigaa jiru fakkata.",Positive
230,Dhugaa rabii sammuu guddaa qabda,Positive
231,Waaqumti umuriikee nufaa dheerressu,Positive
232,Jabbaan akkasi haa baayyaattu oromoodhaf ❤❤❤❤ umurii dheraadha qaaxale nama,Positive
233,"Ergaa jabaa, thank you both❤",Positive
234,Yaa maashallah abbo Mucaan Kuni Naaf ta'ee dhugaa Rabbi qaxaale Abbaaketi,Positive
235,'Arsenal waancaa nyaata ati shiroo nyaatta!'  Woow,Positive
236,Jabduu koo Bel,Positive
237,Woww❤❤❤❤❤❤ dhirrii akkaas malee,Positive
238,ofiifuu deggarsaa namoomaa barbannaa humna Isa kamin faranjii deggarra,Positive
239,"Waqayoo waqaraa sihaa ebbisuu ebbifamii  wan yadee biran sihaa gahuu  waqayoo 

Nuuf debisaa maloo wan bayee isaa kesaa jiraa nuuf haa qoduu buraa isaa keesaa kan xiqoo abuqan ❤❤❤",Positive
240,Waww gotaa bekumsaa❤❤❤❤,Positive
241,Wooow yaada baay'ee bareeddadha Eebbifamtetaa❤,Positive
242,Eebifaami jabaa nama❤,Positive
243,"Jiraadhu qaxalee, jabaadhu. Jecha namaa hin dhaga'iin",Positive
244,Galatoomaa❤❤❤❤❤❤❤❤,Positive
245,Gaariidha,Positive
246,"Waqaayyoo sii haa ebbiisuu, sii haa eguu❤
Kanaa caalaas Ayyaana saati sii haa gegeessuu
Jabba nama☑️✅",Positive
247,sure waanuma ajaa'ibaati dhugaa,Positive
248,Wowowo amazing baay.ee namati tolaa,Positive
249,Ebiifamii dhugaa keetii,Positive
250,"Thank u bro,Lammii akka keetii kana waaqayyo nuuf haa baay'isu",Positive
251,Umataa kana jechisii gochii hin jijiruu malee  mucaan waan nama jijiruu waan baay'ee dubateee.. thanks,Positive
252,"Jabaa ofii abbaatuu jabeeffata, ati namaa bayyee qaalii saabnii Oroomoo fi Biyyi keenyaas qabduudhaa! Go Forward❤❤❤",Positive
253,"Balloo,jabaadhu❤❤❤❤",Positive
254,Dhugaa Qaalii Nama waaqayyoo Sii Haa Eebbisuu,Positive
255,"Keessuma baay'ee gameessa ta'e dhiyeessite, galatoomi",Positive
256,Exactly  Man dhugaa Dubbachuuf wanumaa sirrii Jettee dhugaa Nuuf Jiradhuu,Positive
257,woo! nama jabaa! waan baayyeen sirraa baradhe! Waaqayyoo si haa eebbisu,Positive
258,Waan namatti toluudha.galatooma.,Positive
259,"thanks alot, photo inni naaf galchi jedhe utuu galchite ta'ee hubannoo namaaf gaarii ture.",Negative
260,Ijii hamaa sin argiin!,Positive
261,"Baay'éen si ajja'ibsifadhee , maal qabaa kan akka keettii otoo lafaa kanaa irraattii nuf baay'atee❤❤",Positive
262,Wow bara kana kessatti erga gudda akka of ilaaluuf nuuf hirteef galatoomi… namoota barumsa irra argannu akkasii ammalee dabalaa nuuf dhiyesa… ulfadha,Positive
263,Ati dhugumatti nama ofikee argateedha,Positive
264,"Wow dandetiin kee bayyee nama tii tolaa kan akkaa kee nuf yaa bayyatuu,,,,,,wan hedduu hubadheraa dhugaa bayyee of barbaduu nuu gafataa.",Positive
265,Fkn dhaloota kan nama ta'uu danda'uu  Rabbi si haa Eebbisuu❤,Positive
266,Dhugaa barumsa guuddadhe ebbiffami waaqayyoo si yaa ebbisu qaxalee mucaa keenyaa❤❤❤❤ please  yero lamaffa nufi aferaa❤❤,Positive
267,"Way ajaa'iba❤❤❤, ani wannin jedhu namooni akkasi kan biraas gadbaahaati nu dhaqqaba",Positive
268,Maaloo dhagefadhe quuffu dadhaabee ✊✊✊✊,Positive
269,Wow bal'oo Koo jabaa namaa❤,Positive
270,Jabaa nama ulfadhuu ❤❤❤❤,Positive
271,Baayee Baayee ❤❤❤❤❤ nattii tole irran brasher Eebbifama ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
272,Ijjoolee keenyaa please  maatii naaf  ana jajabesaa,Positive
273,❤❤❤Baay'ee Galatoomi Belina❤❤❤,Positive
274,Yaada sirrdha❤❤❤,Positive
275,Edaa namni akkasi jirraaa  dhugaa bayyee namaa addaadha umurii dheeraa nuuf jiraadhu jechaan ittin si ibsu hin qabu,Positive
276,Dhugaa dubbachuuf mucaa aja'ibaati❤❤❤,Positive
277,Wantii atii hasoftuu hundii isaa dhugaadha nuf jiradhuu.,Positive
278,Dhugaa mucaa kanaa baayyeen jalaadhe❤,Positive
279,Waqayyoo waqarra si haa eebisu barsisa koo❤❤❤❤❤❤,Positive
280,Wow dhugaa namatti tola dhugaa jirtuudha dubbiin kees,Positive
281,Woowww Baay`ee ajaa`iba dhugaadha,Positive
282,Wawww waqayyoo haa ebbifamuu baraa kanaa kessatti nama damaqa akkasii nuuf lachusaaf  dhugaa baay'ee mucaa jabadha ati jabadhu,Positive
